x condition instruction availability retrieved
0.78 A U 1.0 1
1.07 A W 1.0 1
1.77 B U 0.683 0
2.08 B W 0.511 0
2.77 C U 1.0 0
3.08 C W 0.508 0
3.77 D U 0.043 1
4.08 D W 0.522 1
4.78 E U 0.524 1
5.08 E W 0.043 0
0.82 A U 1.0 1
1.12 A W 1.0 1
1.82 B U 0.514 0
2.12 B W 0.518 0
2.83 C U 0.52 0
3.12 C W 0.548 1
3.83 D U 0.042 0
4.12 D W 0.168 0
4.83 E U 1.0 1
5.12 E W 0.127 0
0.88 A U 1.0 1
1.18 A W 1.0 1
1.88 B U 0.536 0
2.17 B W 0.341 0
2.88 C U 0.509 0
3.17 C W 0.405 1
3.88 D U 0.065 0
4.17 D W 0.043 0
4.88 E U 0.104 0
5.17 E W 0.541 1
0.93 A U 1.0 1
1.23 A W 1.0 1
1.93 B U 0.532 0
2.23 B W 0.294 0
2.92 C U 1.0 0
3.23 C W 0.507 0
3.92 D U 0.524 1
4.22 D W 0.048 0
4.92 E U 1.0 0
5.22 E W 0.524 1
