t A B C D E
2.5 1.0 1.0 1.0 1.0 1.0
7.5 1.0 0.829 0.556 1.0 1.0
12.5 1.0 0.507 0.5 1.0 0.957
17.5 1.0 0.5 0.5 0.549 0.507
22.5 1.0 0.5 0.493 0.338 0.493
27.5 1.0 0.493 0.5 0.0 0.5
32.5 1.0 0.5 0.507 0.0 0.507
37.5 1.0 0.507 0.493 0.0 0.5
42.5 1.0 0.5 0.507 0.0 0.493
47.5 1.0 0.493 0.493 0.0 0.507
52.5 1.0 0.507 0.507 0.0 0.5
57.5 1.0 0.5 0.5 0.0 0.493
62.5 1.0 0.5 0.493 0.0 0.5
67.5 1.0 0.493 0.507 0.0 0.5
72.5 1.0 0.507 0.493 0.0 0.5
77.5 1.0 0.5 0.5 0.0 0.5
82.5 1.0 0.493 0.5 0.0 0.507
87.5 1.0 0.5 0.507 0.0 0.5
92.5 1.0 0.507 0.493 0.0 0.5
97.5 1.0 0.5 0.5 0.0 0.493
102.5 1.0 0.5 0.5 0.0 0.5
107.5 1.0 0.493 0.5 0.0 0.507
112.5 1.0 0.507 0.5 0.0 0.493
117.5 1.0 0.493 0.507 0.0 0.5
122.5 1.0 0.5 0.5 0.0 0.5
127.5 1.0 0.5 0.5 0.0 0.5
132.5 1.0 0.507 0.493 0.0 0.5
137.5 1.0 0.493 0.507 0.0 0.507
142.5 1.0 0.507 0.5 0.0 0.493
147.5 1.0 0.5 0.5 0.0 0.5
152.5 1.0 0.493 0.493 0.0 0.5
157.5 1.0 0.507 0.507 0.0 0.5
162.5 1.0 0.5 0.493 0.0 0.507
167.5 1.0 0.5 0.5 0.0 0.5
172.5 1.0 0.493 0.507 0.0 0.5
177.5 1.0 0.507 0.493 0.0 0.493
182.5 1.0 0.5 0.508 0.0 0.507
187.5 1.0 0.493 0.5 0.0 0.493
192.5 1.0 0.5 0.5 0.0 0.5
197.5 1.0 0.507 0.493 0.0 0.507
202.5 1.0 0.5 0.507 0.0 0.493
207.5 1.0 0.493 0.493 0.0 0.5
212.5 1.0 0.5 0.507 0.0 0.5
217.5 1.0 0.507 0.5 0.0 0.5
222.5 1.0 0.5 0.493 0.0 0.5
227.5 1.0 0.493 0.5 0.0 0.5
232.5 1.0 0.507 0.507 0.0 0.507
237.5 1.0 0.493 0.5 0.0 0.5
242.5 1.0 0.5 0.493 0.0 0.5
247.5 1.0 0.507 0.5 0.0 0.493
252.5 1.0 0.493 0.507 0.0 0.507
257.5 1.0 0.5 0.493 0.0 0.5
262.5 1.0 0.5 0.5 0.0 0.493
267.5 1.0 0.507 0.5 0.0 0.5
272.5 1.0 0.493 0.5 0.0 0.5
277.5 1.0 0.507 0.5 0.0 0.5
282.5 1.0 0.5 0.507 0.0 0.5
287.5 1.0 0.493 0.5 0.0 0.507
292.5 1.0 0.507 0.5 0.0 0.493
297.5 1.0 0.493 0.486 0.0 0.507
