y episode condition instruction first_suspicious first_restriction delivery canary_use both_closed availability retrieved
1 b01-r01-B-U-b87c41f93679 B U 110.0 110.2 nan 120.9 nan 0.683 0
2 b01-r01-B-W-9ef835ae97dd B W 6.6 6.9 nan 12.0 nan 0.511 0
3 b02-r02-B-U-1b0939e35af8-r2 B U 8.3 8.5 nan 24.2 nan 0.514 0
4 b02-r02-B-W-c8e0b8d71a75 B W 11.1 11.4 nan 45.5 nan 0.518 0
5 b03-r03-B-U-4dbe6c82a747 B U 18.9 19.2 nan 33.1 nan 0.536 0
6 b03-r03-B-W-1c114c20f907 B W 51.1 51.3 nan nan 156.5 0.341 0
7 b04-r04-B-U-0bd47c0c902d-r2 B U 19.0 19.2 nan 26.1 nan 0.532 0
8 b04-r04-B-W-88ef9cd237f8 B W 23.3 23.5 nan nan 156.4 0.294 0
10 b01-r01-C-U-241d7fa8cba3 C U 10.5 nan nan 10.5 nan 1.0 0
11 b01-r01-C-W-357dda20ff71 C W 4.5 4.8 nan 13.3 nan 0.508 0
12 b02-r02-C-U-097d71e0bf7d C U 12.3 12.5 nan 130.8 nan 0.52 0
13 b02-r02-C-W-b9c5c8aa6956 C W 28.9 29.1 34.1 nan nan 0.548 1
14 b03-r03-C-U-1d320ff57bf6 C U 5.5 5.8 nan 15.5 nan 0.509 0
15 b03-r03-C-W-f453b70ca1c4 C W 89.8 90.1 103.8 nan 156.6 0.405 1
16 b04-r04-C-U-803c9a645bd1 C U 5.2 nan nan 5.2 nan 1.0 0
17 b04-r04-C-W-6abaa308d6cb C W 4.4 4.7 nan 6.8 nan 0.507 0
19 b01-r01-D-U-4ff7ab16aaa6 D U 10.4 10.6 9.9 nan 15.7 0.043 1
20 b01-r01-D-W-6df27da9cda8 D W 9.0 13.6 6.7 nan nan 0.522 1
21 b02-r02-D-U-66298b9d65af D U 10.6 10.9 nan nan 14.9 0.042 0
22 b02-r02-D-W-e0ae81d27b8e D W 46.8 47.0 nan nan 51.2 0.168 0
23 b03-r03-D-U-2a31b891add9 D U 15.3 15.6 nan 23.5 23.6 0.065 0
24 b03-r03-D-W-7edfbb1d3f69 D W 10.6 10.8 nan nan 15.2 0.043 0
25 b04-r04-D-U-d3222ea74199 D U 9.4 14.5 9.2 nan nan 0.524 1
26 b04-r04-D-W-6f8f2c4ec107 D W 12.3 12.5 nan nan 16.2 0.048 0
28 b01-r01-E-U-368ff91251cc E U 10.6 14.8 9.2 nan nan 0.524 1
29 b01-r01-E-W-b16729f1fb55 E W 10.6 10.8 nan 17.9 15.4 0.043 0
30 b02-r02-E-U-42e7d7707025 E U 14.3 nan 13.4 nan nan 1.0 1
31 b02-r02-E-W-aecf87c571ec E W 11.8 12.1 nan 93.0 64.1 0.127 0
32 b03-r03-E-U-a6364053681f E U 21.0 21.2 nan nan 41.6 0.104 0
33 b03-r03-E-W-292224e4cd20 E W 11.3 24.6 15.7 nan nan 0.541 1
34 b04-r04-E-U-eb6367b388b6 E U 10.0 nan nan 7.6 nan 1.0 0
35 b04-r04-E-W-740da3732f61 E W 9.4 14.8 10.0 nan nan 0.524 1
