x condition detection response
1.73 B 103.5 103.7
2.09 B 5.6 5.9
2.73 C 9.6 9.6
3.09 C 3.5 3.7
3.73 D 9.4 9.6
4.09 D 8.1 12.7
4.73 E 9.7 13.8
5.09 E 9.7 9.9
1.79 B 6.8 7.0
2.15 B 10.0 10.2
2.79 C 11.0 11.2
3.15 C 28.0 28.2
3.79 D 9.6 9.9
4.15 D 40.5 40.7
4.79 E 10.3 nan
5.15 E 10.7 11.0
1.85 B 17.8 18.0
2.21 B 50.0 50.2
2.85 C 4.3 4.6
3.21 C 88.0 88.2
3.85 D 14.4 14.7
4.21 D 9.1 9.4
4.85 E 19.9 20.1
5.21 E 10.3 23.6
1.91 B 17.8 18.0
2.27 B 22.2 22.4
2.91 C 4.3 4.3
3.27 C 3.4 3.8
3.91 D 8.5 13.6
4.27 D 11.3 11.5
4.91 E 9.0 6.6
5.27 E 8.5 14.0
